P_NAME,P_DETECTION,P_DISCOVERY_FACILITY,P_YEAR,P_UPDATE,P_MASS,P_MASS_ERROR_MIN,P_MASS_ERROR_MAX,P_MASS_LIMIT,P_MASS_ORIGIN,P_RADIUS,P_RADIUS_ERROR_MIN,P_RADIUS_ERROR_MAX,P_RADIUS_LIMIT,P_PERIOD,P_PERIOD_ERROR_MIN,P_PERIOD_ERROR_MAX,P_PERIOD_LIMIT,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_ERROR_MIN,P_SEMI_MAJOR_AXIS_ERROR_MAX,P_SEMI_MAJOR_AXIS_LIMIT,P_ECCENTRICITY,P_ECCENTRICITY_ERROR_MIN,P_ECCENTRICITY_ERROR_MAX,P_ECCENTRICITY_LIMIT,P_INCLINATION,P_INCLINATION_ERROR_MIN,P_INCLINATION_ERROR_MAX,P_INCLINATION_LIMIT,P_OMEGA,P_OMEGA_ERROR_MIN,P_OMEGA_ERROR_MAX,P_OMEGA_LIMIT,S_NAME,S_NAME_HD,S_NAME_HIP,S_TYPE,S_RA,S_DEC,S_RA_STR,S_DEC_STR,S_MAG,S_MAG_ERROR_MIN,S_MAG_ERROR_MAX,S_DISTANCE,S_DISTANCE_ERROR_MIN,S_DISTANCE_ERROR_MAX,S_TEMPERATURE,S_TEMPERATURE_ERROR_MIN,S_TEMPERATURE_ERROR_MAX,S_TEMPERATURE_LIMIT,S_MASS,S_MASS_ERROR_MIN,S_MASS_ERROR_MAX,S_MASS_LIMIT,S_RADIUS,S_RADIUS_ERROR_MIN,S_RADIUS_ERROR_MAX,S_RADIUS_LIMIT,S_METALLICITY,S_METALLICITY_ERROR_MIN,S_METALLICITY_ERROR_MAX,S_METALLICITY_LIMIT,S_AGE,S_AGE_ERROR_MIN,S_AGE_ERROR_MAX,S_AGE_LIMIT,S_LOG_LUM,S_LOG_LUM_ERROR_MIN,S_LOG_LUM_ERROR_MAX,S_LOG_LUM_LIMIT,S_LOG_G,S_LOG_G_ERROR_MIN,S_LOG_G_ERROR_MAX,S_LOG_G_LIMIT,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,P_TEMP_SURF,P_TEMP_SURF_MIN,P_TEMP_SURF_MAX,P_TYPE,S_TYPE_TEMP,S_RA_TXT,S_DEC_TXT,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,P_ESI,S_CONSTELLATION,S_CONSTELLATION_ABR,S_CONSTELLATION_ENG
"OGLE-2016-BLG-1227L b","Microlensing","OGLE","2020","2020-04-02","250.00000","-120.00000","413.00000","0","Mass","13.900000","","","0","","","","0","3.4000000","-1.0000000","2.1000000","0","","","","0","","","","0","","","","0","OGLE-2016-BLG-1227L","","","","265.59713","-33.759778","17h42m23.31s","-33d45m35.2s","","","","","","","","","","0","0.10000000","-0.050000000","0.17000000","0","","","","0","","","","0","","","","0","","","","0","","","","0","4.2409446","17.985612","1.2939289","0.093088409","0.46157701","3.4000000","3.4000000","3.4000000","3.4000000","","","","","","","","","","Jovian","","17 42 23.31","-33 45 35.20","","","","","","","","","","","","0.21413342","0","0","","0","","Scorpius","Sco","Scorpion"
"Kepler-276 c","Transit","Kepler","2013","2018-09-25","16.600000","-3.6000000","4.4000000","0","Mass","2.9000000","-0.28000000","1.2700000","0","31.884000","","","0","0.19940000","","","0","0.0000000","","","0","86.920000","","","0","","","","0","Kepler-276","","","","293.56820","39.036312","19h34m16.37s","+39d02m10.72s","15.481000","-0.17200000","0.17200000","1144.8600","-42.760000","46.150000","5779.0000","-86.000000","78.000000","0","1.1000000","-0.14000000","0.22000000","0","1.0300000","-0.10000000","0.45000000","0","0.020000000","-0.16400000","0.13300000","0","0.40000000","-2.1000000","2.1000000","0","-0.089000000","","","0","4.4600000","-0.30000000","0.050000000","0","2.3925171","5.7241379","1.9738407","0.68063471","0.0049288871","0.19940000","0.19940000","0.19940000","0.19940000","20.490365","20.490365","20.490365","541.98483","541.98483","541.98483","","612.08670","612.08670","Neptunian","G","19 34 16.37","+39 02 10.72","0.81470428","0.67733674","1.5957419","0.85793091","1.5129084","0.90721227","1.5129084","0.82816711","1.5129084","2.4370462","2.0977833","0.31698039","0","0","Hot","0","0.27203194","Cygnus","Cyg","Swan"
"Kepler-829 b","Transit","Kepler","2016","2019-04-16","5.1000000","","","0","M-R relationship","2.1100000","-0.18000000","0.44000000","0","6.8833756","-1.9630000e-05","1.9630000e-05","0","0.067800000","","","0","0.0000000","","","0","89.820000","","","0","","","","0","Kepler-829","","","","282.33283","42.463813","18h49m19.88s","+42d27m49.73s","14.973000","-0.092000000","0.092000000","1073.7600","-25.350000","26.580000","5698.0000","-120.29000","92.850000","0","0.98000000","-0.060000000","0.050000000","0","0.97000000","-0.080000000","0.20000000","0","0.030000000","-0.16500000","0.13200000","0","4.6800000","-2.8800000","4.1300000","0","0.040000000","","","0","4.4600000","-0.16000000","0.060000000","0","1.5546902","2.4170616","1.1455268","0.54290371","0.0011752483","0.067800000","0.067800000","0.067800000","0.067800000","238.52868","238.52868","238.52868","1001.1171","1001.1171","1001.1171","1130.6044","1130.6044","1130.6044","Superterran","G","18 49 19.88","+42 27 49.73","1.0964782","0.78960296","1.8643421","1.0001322","1.7675657","1.0576599","1.7675657","0.96544651","1.7675657","2.8272471","1.7563169","0.45955889","0","0","Hot","0","0.25476271","Lyra","Lyr","Lyre"
"K2-283 b","Transit","K2","2018","2019-09-05","12.200000","","","0","M-R relationship","3.5200000","-0.16000000","0.16000000","0","1.9210360","-5.3000000e-05","5.1000000e-05","0","0.029100000","-0.00030000000","0.00030000000","0","","","","0","","","","0","","","","0","K2-283","","","","13.194368","9.6929181","00h52m46.65s","+09d41m34.51s","14.364000","-0.092000000","0.092000000","402.91500","-4.9070000","5.0270000","5060.0000","-70.000000","70.000000","0","0.89000000","-0.030000000","0.030000000","0","0.82000000","-0.010000000","0.010000000","0","0.28000000","-0.050000000","0.050000000","0","","","","0","-0.52400000","-0.013000000","0.013000000","0","4.5600000","-0.020000000","0.020000000","0","1.8616952","3.4659091","0.98463326","0.27972536","0.00069662894","0.029100000","0.029100000","0.029100000","0.029100000","353.35726","353.35726","353.35726","1104.4682","1104.4682","1104.4682","","1247.3233","1247.3233","Neptunian","K","00 52 46.65","+09 41 34.51","0.29922646","0.42721564","1.0304731","0.54113104","0.97698110","0.57263032","0.97698110","0.52240045","0.97698110","1.4769431","0.56837407","0.44375963","0","0","Hot","0","0.19390612","Pisces","Psc","Fishes"
"Kepler-477 b","Transit","Kepler","2016","2019-04-16","4.9400000","","","0","M-R relationship","2.0700000","-0.12000000","0.18000000","0","11.119907","-1.1600000e-05","1.1600000e-05","0","0.091100000","","","0","0.0000000","","","0","87.750000","","","0","","","","0","Kepler-477","","","","288.06745","42.355305","19h12m16.19s","+42d21m19.10s","13.835000","-0.11400000","0.11400000","367.00000","-11.229000","10.155000","5240.0000","-41.140000","49.300000","0","0.87000000","-0.030000000","0.030000000","0","0.79000000","-0.020000000","0.020000000","0","-0.040000000","-0.10000000","0.11200000","0","2.0900000","-0.73700000","1.3300000","0","-0.37200000","","","0","4.5800000","-0.010000000","0.010000000","0","1.5448215","2.3864734","1.1528857","0.55694962","0.0016256967","0.091100000","0.091100000","0.091100000","0.091100000","51.163853","51.163853","51.163853","681.30334","681.30334","681.30334","769.42507","769.42507","769.42507","Superterran","K","19 12 16.19","+42 21 19.10","0.42461956","0.50426386","1.2081679","0.63872145","1.1454523","0.67576876","1.1454523","0.61660404","1.1454523","1.7593967","0.76850241","0.38614964","0","0","Hot","0","0.27672114","Lyra","Lyr","Lyre"
"TOI-1260 c","Transit","Transiting Exoplanet Survey Satellite (TESS)","2021","2022-12-17","13.200000","-4.2300000","4.2300000","0","Mass","2.7600000","-0.070000000","0.070000000","0","7.4931340","-2.0000000e-05","2.0000000e-05","0","0.065700000","-0.0020000000","0.0020000000","0","0.0000000","","","0","87.970000","-0.11000000","0.11000000","0","0.0000000","","","0","TOI-1260","","","K6 V","157.14407","65.854199","10h28m34.58s","+65d51m15.11s","11.922000","-0.034000000","0.034000000","73.597700","-0.16010000","0.16070000","4227.0000","-85.000000","85.000000","0","0.68000000","-0.060000000","0.10000000","0","0.67000000","-0.010000000","0.010000000","0","-0.10000000","-0.070000000","0.070000000","0","6.7000000","-5.2000000","5.1000000","0","-0.88900000","-0.014000000","0.013000000","0","4.5700000","-0.050000000","0.050000000","0","2.1869176","4.7826087","1.7328292","0.62783668","0.0017661962","0.065700000","0.065700000","0.065700000","0.065700000","29.913640","29.913640","29.913640","595.75408","595.75408","595.75408","","672.81062","672.81062","Neptunian","K","10 28 34.58","+65 51 15.11","0.12912193","0.28981995","0.72539684","0.36710237","0.68773744","0.38885735","0.68773744","0.35439202","0.68773744","0.97020557","0.12421030","0.43192361","0","0","Hot","0","0.26044049","Ursa Major","UMa","Big Bear"
"HD 149143 b","Radial Velocity","Haute-Provence Observatory","2005","2018-09-25","422.71390","-47.674500","47.674500","0","Msini","13.600000","","","0","4.0718200","-1.0000000e-05","1.0000000e-05","0","0.053000000","-0.0029000000","0.0029000000","0","0.016700000","-0.0040000000","0.0040000000","0","","","","0","217.00000","-17.000000","17.000000","0","HD 149143","HD 149143","HIP 81022","G0","248.21267","2.0844547","16h32m51.04s","+02d05m04.04s","7.8900000","-0.030000000","0.030000000","73.280100","-0.35880000","0.36230000","5856.0000","","","0","1.2000000","-0.20000000","0.20000000","0","1.4400000","-0.080000000","0.080000000","0","0.29000000","","","0","4.2800000","-0.68000000","0.68000000","0","0.35000000","-0.050000000","0.050000000","0","4.2500000","-0.050000000","0.050000000","0","5.5751147","31.081904","2.2854341","0.16804663","0.0036815914","0.053007391","0.052114900","0.053885100","0.053001848","797.09270","771.01462","824.28270","1353.4874","1342.3488","1364.9563","","1515.9720","1541.5037","Jovian","G","16 32 51.04","+02 05 04.04","2.2387211","1.1175982","2.6277130","1.4155736","2.4913109","1.4967849","2.4913109","1.3664478","2.4913109","4.0398363","2.4649488","0.48438708","0","0","Hot","0","0.067319209","Ophiuchus","Oph","Serpent Holder"
"HD 99492 b","Radial Velocity","W. M. Keck Observatory","2004","2023-09-19","25.500000","-0.60000000","0.60000000","0","Msini","5.4400000","","","0","17.050300","-0.0016000000","0.0016000000","0","0.12000000","0.0000000","0.0000000","0","0.034000000","-0.021000000","0.025000000","0","","","","0","154.30000","-48.000000","48.600000","0","HD 99492","HD 99492","HIP 55848","K2 V","171.68969","3.0071331","11h26m45.52s","+03d00m25.68s","7.5672700","-0.023000000","0.023000000","18.203800","-0.057700000","0.058100000","4929.0000","-44.000000","44.000000","0","0.85000000","-0.020000000","0.020000000","0","0.82000000","-0.020000000","0.020000000","0","0.30000000","-0.030000000","0.030000000","0","4.8000000","-4.1000000","4.1000000","0","-0.47500000","-0.010000000","0.015000000","0","4.5700000","","","0","2.1650635","4.6875000","0.86167279","0.15839573","0.0036028875","0.12006936","0.11592000","0.12408000","0.12001735","23.274946","21.756871","24.927760","559.40675","550.17242","569.20738","","621.33330","642.83029","Neptunian","K","11 26 45.52","+03 00 25.68","0.33496544","0.45483697","1.1028369","0.57611888","1.0455880","0.60974523","1.0455880","0.55618120","1.0455880","1.5626574","0.44692616","0.44012025","0","0","Hot","0","0.18841577","Leo","Leo","Lion"
"nu Oph c","Radial Velocity","Okayama Astrophysical Observatory","2012","2023-09-19","7838.3235","","","0","Mass","12.000000","","","0","3180.6000","-4.5200000","5.0100000","0","5.8290000","-0.0060000000","0.0060000000","0","0.17900000","-0.0050000000","0.0070000000","0","90.000000","","","0","8.5400000","-1.9000000","1.9000000","0","nu Oph","HD 163917","HIP 88048","K0 III","269.75660","-9.7741342","17h59m01.58s","-09d46m26.88s","3.3121600","-0.023000000","0.023000000","46.210700","-1.7331300","1.7331300","4887.0000","","","0","2.6100000","-0.57000000","0.32000000","0","12.240000","-1.7600000","2.5500000","0","0.10000000","-0.10000000","0.10000000","0","0.65000000","-0.17000000","0.17000000","0","1.8950000","-0.15300000","0.15700000","0","2.6400000","-0.10000000","0.10000000","0","25.557653","653.19362","54.432802","4.5360668","0.69063728","5.9223835","4.7856090","6.8723910","5.8525951","2.3490021","1.6625866","3.4286691","313.45519","289.26493","346.64194","","326.67928","391.47760","Jovian","K","17 59 01.58","-09 46 26.88","78.523563","6.9772900","16.946994","8.8377849","16.067263","9.3540730","16.067263","8.5319508","16.067263","23.925651","0.60437434","0.45841332","0","0","Hot","0","0.33734250","Ophiuchus","Oph","Serpent Holder"
"75 Cet b","Radial Velocity","Okayama Astrophysical Observatory","2012","2023-09-19","787.89662","-28.604560","23.519300","0","Msini","13.300000","","","0","696.62000","-1.6900000","1.3300000","0","1.9120000","-0.0030000000","0.0020000000","0","0.093000000","-0.042000000","0.026000000","0","","","","0","-157.60000","-10.500000","315.90000","0","75 Cet","HD 15779","HIP 11791","G3 III","38.039160","-1.0350269","02h32m09.40s","-01d02m06.10s","5.3532000","-0.023000000","0.023000000","82.961300","-0.72365000","0.72365000","4809.0000","","","0","1.9200000","-0.080000000","0.070000000","0","10.380000","-0.26000000","0.15000000","0","0.10000000","-0.050000000","0.080000000","0","","","","0","1.7140000","-0.021000000","0.012000000","0","2.6900000","-0.040000000","0.030000000","0","7.6967751","59.240347","4.4541615","0.33489936","0.12890500","1.9202684","1.7341840","2.0898160","1.9140730","14.220357","11.851789","17.211141","493.87889","472.65655","518.86231","","533.79131","585.97344","Jovian","G","02 32 09.40","-01 02 06.10","51.760683","5.6843376","13.851880","7.2000753","13.132814","7.6213842","13.132814","6.9509299","13.132814","19.425122","0.47715820","0.57339188","0","0","Hot","0","0.13562122","Cetus","Cet","Whale"
